,Runs_scored_batting,balls faced,4s_batting,6s_batting,strikerate,100s,50s,Num_matches_batted,Name,Born,Age,Batting_Style,Bowling_Style,Playing_Role,National_Team,player_img,career_start,career_latest,Overs,Maindens,runs_given_baller,wickets_baller,economy_baller,dot_balls_baller,4s_baller,6s_baller,wides_baller,NB_baller,5w_haul,balls_bowled,Num_matches_bowled,catches,stumps,batting_average,Playing_Role_New,boundary_perc,50_%,100_%,bowling_average,bowling_strikerate,Rank,Combined_Rank,Player_name,Player_link
286,112,156,11,0,54.69,0,1,6,Nasir Jamal,"December 21, 1993, Afghanistan",29y 226d,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Middle order Batter,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316697.png",2014,2023,,,,,,,,,,,,,,4,0,18.66666667,Middle order Batter,7.051282051,16.66666667,0,,,2,34.78469476,Nasir Jamal,/cricketers/nasir-jamal-524048
287,1263,1847,113,9,61.52439024,0,12,41,Hashmatullah Shahidi,"November 04, 1994, Logar",28y 273d,Left hand Bat,Right arm Offbreak,Top order Batter,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320400/320495.png",2013,2023,,,,,,,,,,,,,,13,0,30.80487805,Top order Batter,6.605305901,29.26829268,0,,,1,169.5577766,Hashmatullah Shahidi,/cricketers/hashmatullah-shahidi-440970
288,749,874,76,10,68.17571429,4,2,14,Ibrahim Zadran,"December 12, 2001, Khost",21y 235d,Right hand Bat,Right arm Medium fast,Opening Batter,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321300/321311.png",2019,2023,,,,,,,,,,,,,,3,0,53.5,Top order Batter,9.839816934,14.28571429,28.57142857,,,2,124.6160048,Ibrahim Zadran,/cricketers/ibrahim-zadran-921509
289,294,366,33,12,79.34933333,0,1,15,Hazratullah Zazai,"March 23, 1998, Paktia",25y 134d,Left hand Bat,Slow Left arm Orthodox,Opening Batter,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320400/320497.png",2016,2023,,,,,,,,,,,,,,3,0,19.6,Top order Batter,12.29508197,6.666666667,0,,,3,75.39366134,Hazratullah Zazai,/cricketers/hazratullah-zazai-793457
290,24,58,2,0,21.05,0,0,2,Usman Ghani,20-Nov-96,26y 257d,Right hand Bat,,Opening Batter,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316700/316708.png",2014,2023,,,,,,,,,,,,,,3,0,12,Top order Batter,3.448275862,0,0,,,5,15.86774922,Usman Ghani,/cricketers/usman-ghani-711559
291,779,896,68,33,78.51190476,4,2,21,Rahmanullah Gurbaz,28-Nov-01,21y 249d,Right hand Bat,,Wicketkeeper Batter,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320500/320504.png",2019,2023,,,,,,,,,,,,,,14,2,37.0952381,Wicketkeeper Batter,11.27232143,9.523809524,19.04761905,,,1,95.96461421,Rahmanullah Gurbaz,/cricketers/rahmanullah-gurbaz-974087
292,1274,1404,107,36,84.93166667,0,11,36,Ben Stokes,"June 04, 1991, Christchurch, Canterbury, New Zealand",32y 61d,Left hand Bat,Right arm Fast medium,Batting Allrounder,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319700/319748.png",2011,2023,184.5,3,1099,21,5.905405405,478,91,17,32,5,0,1109,37,49,0,35.38888889,Batting Allrounder,10.18518519,30.55555556,0,52.33333333,52.80952381,1,106.8073746,Ben Stokes,/cricketers/ben-stokes-311158
293,331,385,26,5,78.69828571,0,0,35,Adil Rashid,"February 17, 1988, Bradford, Yorkshire",35y 168d,Right hand Bat,Legbreak,Bowler,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319700/319741.png",2009,2023,584.3,6,3354,104,5.800615385,1555,201,98,46,3,1,3511,65,40,0,9.457142857,Bowler,8.051948052,0,0,32.25,33.75961538,1,1.112767359,Adil Rashid,/cricketers/adil-rashid-244497
294,35,53,3,0,47.70923077,0,0,13,Mark Wood,"January 11, 1990, Ashington, Northumberland",33y 205d,Right hand Bat,Right arm Fast,Bowler,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316660.png",2015,2023,329.4,12,1794,50,5.465897436,1057,179,28,60,2,0,1978,39,13,0,2.692307692,Bowler,5.660377358,0,0,35.88,39.56,2,0.573468386,Mark Wood,/cricketers/mark-wood-351588
295,32,48,3,0,78.69090909,0,0,11,Jofra Archer,"April 01, 1995, Bridgetown, Barbados",28y 125d,Right hand Bat,Right arm Fast,Bowler,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322900/322929.png",2019,2023,185.1,12,907,41,4.819,675,82,17,37,6,1,1115,20,6,0,2.909090909,Bowler,6.25,0,0,22.12195122,27.19512195,3,0.501336151,Jofra Archer,/cricketers/jofra-archer-669855
296,11,20,0,1,50.712,0,0,5,Reece Topley,"February 21, 1994, Ipswich, Suffolk",29y 164d,Right hand Bat,Left arm Fast medium,Bowler,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322900/322910.png",2015,2023,85.7,8,448,17,5.171818182,296,51,7,9,1,1,517,11,5,0,2.2,Bowler,5,0,0,26.35294118,30.41176471,4,0.252923611,Reece Topley,/cricketers/reece-topley-461632
