,Unnamed: 0,BOWLING,team,W,ECON,R,balls_balled,extras,boundaries,M,normalized_W,normalized_ECON,normalized_extras,boundary_percentage,normalized_boundary_perc
150,150,Dawlat Zadran,Afghanistan,27,5.74,956,984.0,37,127,11,2.43,4.36,6.7,0.13,2.27
151,151,Deepak Chahar,India,16,5.78,489,510.0,23,64,5,1.44,4.24,7.95,0.13,2.64
156,156,Dhananjaya de Silva,Sri Lanka,37,5.22,1400,1670.0,18,113,1,3.33,6.14,8.39,0.07,8.5
171,171,Dushmantha Chameera,Sri Lanka,39,5.03,1054,1230.0,38,123,9,3.51,6.79,6.61,0.1,5.22
172,172,Dwaine Pretorius,South Africa,18,5.47,486,578.0,4,51,5,1.62,5.29,9.64,0.09,6.41
174,174,Ebadot Hossain,Bangladesh,22,5.49,504,540.0,22,59,4,1.98,5.23,8.04,0.11,4.28
180,180,Faheem Ashraf,Pakistan,21,5.12,1001,1152.0,17,112,8,1.89,6.48,8.48,0.1,5.5
182,182,Fareed Ahmad,Afghanistan,14,4.86,312,402.0,12,31,4,1.26,7.37,8.93,0.08,7.54
184,184,Fazalhaq Farooqi,Afghanistan,27,5.12,610,721.0,34,81,8,2.43,6.5,6.96,0.11,3.97
186,186,Fred Klaassen,Netherlands,32,4.35,753,1047.0,48,74,12,2.88,9.1,5.71,0.07,8.19
195,195,Glenn Maxwell,Australia,15,5.94,1272,1360.0,21,108,4,1.35,3.68,8.12,0.08,7.3
200,200,Gulbadin Naib,Afghanistan,41,5.72,1535,1627.0,51,156,4,3.69,4.42,5.45,0.1,5.64
207,207,Hardik Pandya,India,37,6.0,1469,1556.0,58,151,8,3.33,3.48,4.82,0.1,5.52
208,208,Haris Rauf,Pakistan,39,5.8,1103,1131.0,32,126,7,3.51,4.14,7.14,0.11,4.06
214,214,Hasan Ali,Pakistan,35,6.28,1653,1580.0,52,192,6,3.15,2.51,5.36,0.12,3.04
215,215,Hasan Mahmud,Bangladesh,20,5.68,507,549.0,19,71,4,1.8,4.59,8.3,0.13,2.25
220,220,Henry Shipley,New Zealand,15,5.47,359,387.0,17,47,4,1.35,5.3,8.48,0.12,3.05
226,226,Imad Wasim,Pakistan,16,5.43,1012,1140.0,26,89,4,1.44,5.43,7.68,0.08,7.44
228,228,Imran Tahir,South Africa,35,4.72,1023,1312.0,11,91,8,3.15,7.85,9.02,0.07,8.32
230,230,Ish Sodhi,New Zealand,36,5.59,1320,1419.0,20,114,7,3.24,4.88,8.21,0.08,7.21
231,231,Isuru Udana,Sri Lanka,18,6.5,866,837.0,27,95,2,1.62,1.76,7.59,0.11,3.85
238,238,James Neesham,New Zealand,35,5.97,1106,1171.0,46,126,4,3.15,3.57,5.89,0.11,4.45
244,244,Jason Behrendorff,Australia,16,5.32,568,645.0,11,66,7,1.44,5.78,9.02,0.1,4.98
248,248,Jasprit Bumrah,India,65,4.45,1668,2200.0,47,186,26,5.86,8.78,5.8,0.08,6.78
256,256,Jeffrey Vandersay,Sri Lanka,15,5.54,372,409.0,6,37,3,1.35,5.03,9.46,0.09,6.19
259,259,Jhye Richardson,Australia,27,5.89,793,810.0,15,106,11,2.43,3.85,8.66,0.13,2.09
262,262,Jofra Archer,England,41,4.82,907,1115.0,43,99,12,3.69,7.51,6.16,0.09,6.35
268,268,Josh Hazlewood,Australia,44,4.32,1239,1674.0,25,145,26,3.96,9.2,7.77,0.09,6.57
271,271,Junaid Khan,Pakistan,13,5.49,469,492.0,11,56,5,1.17,5.21,9.02,0.11,3.82
275,275,Kagiso Rabada,South Africa,65,4.96,1960,2362.0,87,232,27,5.86,7.04,2.23,0.1,5.4
280,280,Kane Richardson,Australia,18,6.08,542,533.0,11,69,2,1.62,3.19,9.02,0.13,2.23
288,288,Kasun Rajitha,Sri Lanka,31,5.76,1050,1065.0,50,150,4,2.79,4.31,5.54,0.14,1.08
291,291,Kedar Jadhav,India,11,6.17,538,630.0,9,48,1,0.99,2.88,9.2,0.08,7.63
295,295,Keshav Maharaj,South Africa,25,4.85,939,1194.0,11,69,5,2.25,7.4,9.02,0.06,9.5
299,299,Khaleel Ahmed,India,15,5.64,438,462.0,16,54,2,1.35,4.7,8.57,0.12,3.51
309,309,Kuldeep Yadav,India,111,5.31,3135,3552.0,33,291,15,10.0,5.84,7.05,0.08,7.05
313,313,Kyle Jamieson,New Zealand,11,4.36,296,412.0,15,33,6,0.99,9.06,8.66,0.08,7.24
317,317,Lahiru Kumara,Sri Lanka,30,6.08,885,885.0,28,119,4,2.7,3.2,7.5,0.13,1.73
318,318,Lakshan Sandakan,Sri Lanka,16,6.38,1049,1042.0,33,101,3,1.44,2.18,7.05,0.1,5.53
321,321,Lasith Malinga,Sri Lanka,37,5.76,1018,1076.0,57,114,10,3.33,4.3,4.91,0.11,4.62
326,326,Liam Plunkett,England,38,5.88,1081,1107.0,52,111,2,3.42,3.87,5.36,0.1,5.19
329,329,Lockie Ferguson,New Zealand,72,5.5,2118,2292.0,104,259,8,6.49,5.18,0.71,0.11,3.9
330,330,Logan van Beek,Netherlands,34,5.32,1136,1288.0,60,130,14,3.06,5.79,4.64,0.1,5.12
333,333,Lungi Ngidi,South Africa,73,5.72,2004,2082.0,58,263,19,6.58,4.43,4.82,0.13,2.55
336,336,Maheesh Theekshana,Sri Lanka,36,4.39,799,1104.0,20,69,8,3.24,8.98,8.21,0.06,9.02
337,337,Mahmudullah,Bangladesh,12,6.31,533,571.0,13,48,0,1.08,2.4,8.84,0.08,6.83
341,341,Marcus Stoinis,Australia,35,6.08,1414,1430.0,35,142,3,3.15,3.22,6.88,0.1,5.29
344,344,Mark Wood,England,50,5.47,1794,1978.0,62,207,12,4.5,5.3,4.46,0.1,4.75
347,347,Mashrafe Mortaza,Bangladesh,38,5.48,1606,1804.0,31,166,9,3.42,5.24,7.23,0.09,6.03
