,Runs_scored_batting,balls faced,4s_batting,6s_batting,strikerate,Num_matches_batted,Name,Born,Age,Batting_Style,Bowling_Style,Playing_Role,National_Team,player_img,career_start,career_latest,Overs,Maindens,runs_given_baller,wickets_baller,economy_baller,dot_balls_baller,4s_baller,6s_baller,wides_baller,NB_baller,Num_matches_bowled,catches,stumps,batting_average,Playing_Role_New,boundary_perc,Rank,Combined_Rank,Is_Captain
32,19.0,42.0,1.0,0.0,45.23,1.0,Ruturaj Gaikwad,"January 31, 1997, Pune, Maharashtra",26y 185d,Right hand Bat,Right arm Offbreak,Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Ruturaj_Gaikwad.jpg/220px-Ruturaj_Gaikwad.jpg,2021,2023,,,,,,,,,,,,0.0,0.0,19.0,Top order Batter,2.380952380952381,8.0,25.337238095238092,
33,865.0,811.0,90.0,26.0,97.37807692307692,26.0,Rishabh Pant,"October 04, 1997, Haridwar, Uttarakhand",25y 304d,Left hand Bat,,Wicketkeeper Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Rishabh_Pant_%2829693622367%29_%28cropped%29.jpg/220px-Rishabh_Pant_%2829693622367%29_%28cropped%29.jpg,2017,2022,,,,,,,,,,,,26.0,1.0,33.26923076923077,Wicketkeeper Batter,14.303329223181258,1.0,44.59419230769231,
34,1738.0,1987.0,132.0,42.0,82.9606976744186,43.0,KL Rahul,"April 18, 1992, Bangalore, Karnataka",31y 108d,Right hand Bat,,Wicketkeeper Batter,India,,2014,2023,,,,,,,,,,,,32.0,2.0,40.41860465116279,Wicketkeeper Batter,8.75691997986915,2.0,43.81379069767441,
35,256.0,337.0,22.0,3.0,72.94166666666666,12.0,Dinesh Karthik,"June 01, 1985, Madras (now Chennai), Tamil Nadu",38y 64d,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,India,,2004,2022,,,,,,,,,,,,64.0,7.0,21.333333333333332,Wicketkeeper Batter,7.418397626112759,3.0,42.482499999999995,
36,330.0,315.0,25.0,15.0,94.84400000000001,10.0,Sanju Samson,"November 11, 1994, Pulluvila, Vizhinjam, Trivandrum",28y 266d,Right hand Bat,,Wicketkeeper Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Sanju.Samson.RR.jpg/220px-Sanju.Samson.RR.jpg,2014,2023,,,,,,,,,,,,7.0,2.0,33.0,Wicketkeeper Batter,12.698412698412698,4.0,40.1532,
37,510.0,481.0,52.0,21.0,75.76,13.0,Ishan Kishan,"July 18, 1998, Patna, Bihar",25y 17d,Left hand Bat,,Wicketkeeper Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Ishan_Kishan.jpg/220px-Ishan_Kishan.jpg,2021,2023,,,,,,,,,,,,5.0,2.0,39.23076923076923,Wicketkeeper Batter,15.176715176715177,5.0,35.89723076923077,
38,1455.0,1154.0,129.0,59.0,133.02717391304347,46.0,Glenn Maxwell,"October 14, 1988, Kew, Melbourne, Victoria",34y 294d,Right hand Bat,Right arm Offbreak,Batting Allrounder,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/3-_Protest_Glenn_Maxwell_%28cropped%29.jpg/220px-3-_Protest_Glenn_Maxwell_%28cropped%29.jpg,2012,2023,226.4,4.0,1272.0,15.0,5.938750000000001,579.0,81.0,27.0,21.0,0.0,40.0,79.0,0.0,31.630434782608695,Batting Allrounder,16.291161178509533,1.0,51.31871420767086,
39,766.0,857.0,67.0,24.0,88.01541666666667,24.0,Mitchell Marsh,"October 20, 1991, Attadale, Perth",31y 288d,Right hand Bat,Right arm Medium,Batting Allrounder,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Mitchell_Marsh.jpg/220px-Mitchell_Marsh.jpg,2011,2023,86.3,4.0,430.0,13.0,5.279999999999999,273.0,33.0,5.0,13.0,2.0,19.0,31.0,0.0,31.916666666666668,Batting Allrounder,10.618436406067678,2.0,38.13346326818358,
40,302.0,340.0,22.0,8.0,89.07833333333333,12.0,Cameron Green,"June 03, 1999",24y 62d,Right hand Bat,Right arm Fast medium,Batting Allrounder,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Cameron_Green_fielding_Boxing_Day_2022_%28cropped%29.jpg/220px-Cameron_Green_fielding_Boxing_Day_2022_%28cropped%29.jpg,2020,2023,75.0,0.0,377.0,11.0,5.176,245.0,40.0,3.0,7.0,3.0,15.0,6.0,0.0,25.166666666666668,Batting Allrounder,8.823529411764707,3.0,35.325465686274505,
41,847.0,1018.0,52.0,2.0,76.26714285714286,28.0,Marnus Labuschagne,"June 22, 1994, Klerksdorp, North West Province, South Africa",29y 43d,Right hand Bat,Legbreak,Batting Allrounder,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Day_4_of_the_3rd_Test_of_the_2019_Ashes_at_Headingley_%2848631113862%29_%28Marnus_Labuschagne_cropped%29.jpg/220px-Day_4_of_the_3rd_Test_of_the_2019_Ashes_at_Headingley_%2848631113862%29_%28Marnus_Labuschagne_cropped%29.jpg,2018,2023,30.5,1.0,197.0,2.0,7.308888888888889,77.0,15.0,5.0,1.0,0.0,9.0,12.0,0.0,30.25,Batting Allrounder,5.304518664047151,4.0,30.067915380297503,
