Ground_link,Team_1_link,Team_2_link,match_link,odi_year
/ci/content/ground/57129.html,/team/england-1,/team/india-6,/series/india-tour-of-england-2018-1119528/england-vs-india-2nd-odi-1119547/full-scorecard,2018-2018
/ci/content/ground/59537.html,/team/zimbabwe-9,/team/pakistan-7,/series/pak-in-zim-2018-1142908/zimbabwe-vs-pakistan-2nd-odi-1142921/full-scorecard,2018-2018
/ci/content/ground/57092.html,/team/england-1,/team/india-6,/series/india-tour-of-england-2018-1119528/england-vs-india-3rd-odi-1119548/full-scorecard,2018-2018
/ci/content/ground/59537.html,/team/zimbabwe-9,/team/pakistan-7,/series/pak-in-zim-2018-1142908/zimbabwe-vs-pakistan-3rd-odi-1142922/full-scorecard,2018-2018
/ci/content/ground/59537.html,/team/zimbabwe-9,/team/pakistan-7,/series/pak-in-zim-2018-1142908/zimbabwe-vs-pakistan-4th-odi-1142923/full-scorecard,2018-2018
/ci/content/ground/59537.html,/team/zimbabwe-9,/team/pakistan-7,/series/pak-in-zim-2018-1142908/zimbabwe-vs-pakistan-5th-odi-1142924/full-scorecard,2018-2018
/ci/content/ground/208544.html,/team/west-indies-4,/team/bangladesh-25,/series/bangladesh-in-wi-and-usa-2018-1146712/west-indies-vs-bangladesh-1st-odi-1146720/full-scorecard,2018-2018
/ci/content/ground/208544.html,/team/west-indies-4,/team/bangladesh-25,/series/bangladesh-in-wi-and-usa-2018-1146712/west-indies-vs-bangladesh-2nd-odi-1146721/full-scorecard,2018-2018
/ci/content/ground/59421.html,/team/west-indies-4,/team/bangladesh-25,/series/bangladesh-in-wi-and-usa-2018-1146712/west-indies-vs-bangladesh-3rd-odi-1146722/full-scorecard,2018-2018
/ci/content/ground/59368.html,/team/sri-lanka-8,/team/south-africa-3,/series/sa-in-sl-2018-1142575/sri-lanka-vs-south-africa-1st-odi-1142584/full-scorecard,2018-2018
/ci/content/ground/58686.html,/team/netherlands-15,/team/nepal-33,/series/nepal-in-eng-and-nl-2018-1151832/netherlands-vs-nepal-1st-odi-1151834/full-scorecard,2018-2018
/ci/content/ground/59368.html,/team/sri-lanka-8,/team/south-africa-3,/series/sa-in-sl-2018-1142575/sri-lanka-vs-south-africa-2nd-odi-1142585/full-scorecard,2018-2018
/ci/content/ground/58686.html,/team/netherlands-15,/team/nepal-33,/series/nepal-in-eng-and-nl-2018-1151832/netherlands-vs-nepal-2nd-odi-1151835/full-scorecard,2018-2018
/ci/content/ground/434211.html,/team/sri-lanka-8,/team/south-africa-3,/series/sa-in-sl-2018-1142575/sri-lanka-vs-south-africa-3rd-odi-1142586/full-scorecard,2018-2018
/ci/content/ground/434211.html,/team/sri-lanka-8,/team/south-africa-3,/series/sa-in-sl-2018-1142575/sri-lanka-vs-south-africa-4th-odi-1142587/full-scorecard,2018-2018
/ci/content/ground/59306.html,/team/sri-lanka-8,/team/south-africa-3,/series/sa-in-sl-2018-1142575/sri-lanka-vs-south-africa-5th-odi-1142588/full-scorecard,2018-2018
/ci/content/ground/58588.html,/team/ireland-29,/team/afghanistan-40,/series/afg-in-ireland-2018-1150140/ireland-vs-afghanistan-1st-odi-1150146/full-scorecard,2018-2018
/ci/content/ground/58588.html,/team/ireland-29,/team/afghanistan-40,/series/afg-in-ireland-2018-1150140/ireland-vs-afghanistan-2nd-odi-1150147/full-scorecard,2018-2018
/ci/content/ground/256592.html,/team/nepal-33,/team/united-arab-emirates-27,/series/asia-cup-qualifiers-2018-1154639/nepal-vs-united-arab-emirates-4th-match-1154649/full-scorecard,2018-2018
/ci/content/ground/58588.html,/team/ireland-29,/team/afghanistan-40,/series/afg-in-ireland-2018-1150140/ireland-vs-afghanistan-3rd-odi-1150148/full-scorecard,2018-2018
/ci/content/ground/392627.html,/team/bangladesh-25,/team/sri-lanka-8,/series/asia-cup-2018-1153237/bangladesh-vs-sri-lanka-1st-match-group-b-1153243/full-scorecard,2018-2018
/ci/content/ground/392627.html,/team/hong-kong-19,/team/pakistan-7,/series/asia-cup-2018-1153237/hong-kong-vs-pakistan-2nd-match-group-a-1153244/full-scorecard,2018-2018
/ci/content/ground/59396.html,/team/afghanistan-40,/team/sri-lanka-8,/series/asia-cup-2018-1153237/afghanistan-vs-sri-lanka-3rd-match-group-b-1153245/full-scorecard,2018-2018
/ci/content/ground/392627.html,/team/hong-kong-19,/team/india-6,/series/asia-cup-2018-1153237/hong-kong-vs-india-4th-match-group-a-1153246/full-scorecard,2018-2018
/ci/content/ground/392627.html,/team/india-6,/team/pakistan-7,/series/asia-cup-2018-1153237/india-vs-pakistan-5th-match-group-a-1153247/full-scorecard,2018-2018
/ci/content/ground/59396.html,/team/afghanistan-40,/team/bangladesh-25,/series/asia-cup-2018-1153237/afghanistan-vs-bangladesh-6th-match-group-b-1153248/full-scorecard,2018-2018
/ci/content/ground/392627.html,/team/bangladesh-25,/team/india-6,/series/asia-cup-2018-1153237/bangladesh-vs-india-1st-match-super-four-1153249/full-scorecard,2018-2018
/ci/content/ground/59396.html,/team/afghanistan-40,/team/pakistan-7,/series/asia-cup-2018-1153237/afghanistan-vs-pakistan-2nd-match-super-four-1153250/full-scorecard,2018-2018
/ci/content/ground/392627.html,/team/india-6,/team/pakistan-7,/series/asia-cup-2018-1153237/india-vs-pakistan-3rd-match-super-four-1153251/full-scorecard,2018-2018
/ci/content/ground/59396.html,/team/afghanistan-40,/team/bangladesh-25,/series/asia-cup-2018-1153237/afghanistan-vs-bangladesh-4th-match-super-four-1153252/full-scorecard,2018-2018
/ci/content/ground/392627.html,/team/afghanistan-40,/team/india-6,/series/asia-cup-2018-1153237/afghanistan-vs-india-5th-match-super-four-1153253/full-scorecard,2018-2018
/ci/content/ground/59396.html,/team/bangladesh-25,/team/pakistan-7,/series/asia-cup-2018-1153237/bangladesh-vs-pakistan-6th-match-super-four-1153254/full-scorecard,2018-2018
/ci/content/ground/392627.html,/team/bangladesh-25,/team/india-6,/series/asia-cup-2018-1153237/bangladesh-vs-india-final-1153255/full-scorecard,2018-2018
/ci/content/ground/59135.html,/team/south-africa-3,/team/zimbabwe-9,/series/zim-in-sa-2018-19-1144134/south-africa-vs-zimbabwe-1st-odi-1144146/full-scorecard,2018-2018
/ci/content/ground/59042.html,/team/south-africa-3,/team/zimbabwe-9,/series/zim-in-sa-2018-19-1144134/south-africa-vs-zimbabwe-2nd-odi-1144147/full-scorecard,2018-2018
/ci/content/ground/59147.html,/team/south-africa-3,/team/zimbabwe-9,/series/zim-in-sa-2018-19-1144134/south-africa-vs-zimbabwe-3rd-odi-1144148/full-scorecard,2018-2018
/ci/content/ground/59368.html,/team/sri-lanka-8,/team/england-1,/series/eng-in-sl-2018-19-1140375/sri-lanka-vs-england-1st-odi-1140379/full-scorecard,2018-2018
/ci/content/ground/59368.html,/team/sri-lanka-8,/team/england-1,/series/eng-in-sl-2018-19-1140375/sri-lanka-vs-england-2nd-odi-1140380/full-scorecard,2018-2018
/ci/content/ground/434211.html,/team/sri-lanka-8,/team/england-1,/series/eng-in-sl-2018-19-1140375/sri-lanka-vs-england-3rd-odi-1140381/full-scorecard,2018-2018
/ci/content/ground/434211.html,/team/sri-lanka-8,/team/england-1,/series/eng-in-sl-2018-19-1140375/sri-lanka-vs-england-4th-odi-1140382/full-scorecard,2018-2018
/ci/content/ground/680295.html,/team/india-6,/team/west-indies-4,/series/west-indies-in-india-2018-19-1157747/india-vs-west-indies-1st-odi-1157754/full-scorecard,2018-2018
/ci/content/ground/236761.html,/team/bangladesh-25,/team/zimbabwe-9,/series/zimbabwe-in-bangladesh-2018-19-1153629/bangladesh-vs-zimbabwe-1st-odi-1153635/full-scorecard,2018-2018
/ci/content/ground/59306.html,/team/sri-lanka-8,/team/england-1,/series/eng-in-sl-2018-19-1140375/sri-lanka-vs-england-5th-odi-1140383/full-scorecard,2018-2018
/ci/content/ground/58547.html,/team/india-6,/team/west-indies-4,/series/west-indies-in-india-2018-19-1157747/india-vs-west-indies-2nd-odi-1157755/full-scorecard,2018-2018
/ci/content/ground/56658.html,/team/bangladesh-25,/team/zimbabwe-9,/series/zimbabwe-in-bangladesh-2018-19-1153629/bangladesh-vs-zimbabwe-2nd-odi-1153636/full-scorecard,2018-2018
/ci/content/ground/56658.html,/team/bangladesh-25,/team/zimbabwe-9,/series/zimbabwe-in-bangladesh-2018-19-1153629/bangladesh-vs-zimbabwe-3rd-odi-1153637/full-scorecard,2018-2018
/ci/content/ground/545380.html,/team/india-6,/team/west-indies-4,/series/west-indies-in-india-2018-19-1157747/india-vs-west-indies-3rd-odi-1157756/full-scorecard,2018-2018
/ci/content/ground/58317.html,/team/india-6,/team/west-indies-4,/series/west-indies-in-india-2018-19-1157747/india-vs-west-indies-4th-odi-1157757/full-scorecard,2018-2018
/ci/content/ground/1120086.html,/team/india-6,/team/west-indies-4,/series/west-indies-in-india-2018-19-1157747/india-vs-west-indies-5th-odi-1157758/full-scorecard,2018-2018
/ci/content/ground/1126475.html,/team/australia-2,/team/south-africa-3,/series/sa-in-aus-2018-19-1145096/australia-vs-south-africa-1st-odi-1144986/full-scorecard,2018-2018
/ci/content/ground/59396.html,/team/new-zealand-5,/team/pakistan-7,/series/pakistan-v-new-zealand-2018-19-1157365/new-zealand-vs-pakistan-1st-odi-1157378/full-scorecard,2018-2018
